빅 데이터를 활용한 MICE 참가자의 라이프스타일 분석 = The Analysis in the Lifestyles of MICE Participants using Big Data,"김이태(Kim, Yi-Tae),신미숙(Seen, Meesook),오성근(Oh, Sung-Keun)",한국관광레저학회,관광레저연구,"Vol.28No.10[2016]
",2016,Korean,"라이프스타일(Lifestyles),MICE 참가자(MICE Participants),세분화(Segmentation),빅 데이터(Big Data),다차원 클러스터링분석기법(Multi-Dimensional Clustering Analysis)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,21-34,10.0,,, DBpia,,,"This paper aims to investigate lifestyles of MICE participants by analyzing the BIG DATA created by Shinhan Credit Card usage. The paper classifies and analyse specific features of the lifestyle segments.
  We specified the participants in 18 segment categories as 5 factors (base factor, consuming subject factor, consumption behavior factor, consumer orientation factor and type of industry factor) by applying multi-dimensional clustering analysis resulting 9 segments of each male and female.
  The results show that among male, Friend Daddy was dominant segment followed by Rookie, Smart Saver, LOEL. For female, Alpha Mom was dominant followed by Trend Setter, RUBY, Queen of House. Also, significant difference were found among the participants by features(characteristics) of the MICE　events.
  This study provides practical implications to MICE program development, venue and show guidance to the development of the facilities, products and service of the related industry field with the analysis and classifications of the lifestyles of MICE participants.","Abstract
Ⅰ. 서론
Ⅱ. 문헌 고찰
Ⅲ. 데이터 및 연구방법
Ⅳ. 분석결과
Ⅴ. 결론
참고문헌
"
An Investigation of Traveler`s Readiness to Adoption Geotag Technologies - Hedonic TAM perspective - = An Investigation of Traveler`s Readiness to Adoption Geotag Technologies - Hedonic TAM perspective -,"( Namho Chung ),( Inessa Tyan ),( Heejeong Han ),( Chulmo Koo )",한국관광학회,한국관광학회 국제학술발표대회,"Vol.78No.4[2015]
",2015,Korean,"Geotag,Traveler`s readiness,Role clarity,Ability,Hedonic TAM,Social network sites,Smart tourism",,,"학술저널
",,507-509,,,, KISS,,,"Today internet and information and communication technologies enable travelers to participate actively in the creation of the tourism experience sharing reviews, recommendations, experience and retrieving geographic information about travel destination by geotagging in social network sites. Geotagging which is one of the newest technologies in the smart tourism field, is reckoned as being very useful for travelers in enhancing the experience with visiting places. However the remarkable difference exists in attitudes toward adoption of new technologies among travelers. Although this has triggered a series of studies dedicated to traveler``s readiness that is supposed to have significant influence on new technology adoption, there is still a gap in the understanding of the tourist``s attitude towards the adoption of new technologies. Considering that, this study, focusing on the perspective of traveler``s readiness and technology acceptance model with hedonic view, aims at analyzing the relationships between traveler’s readiness, geotag technology perception and geotag adoption, and finding the key factors influencing the technology adoption. The study investigates traveler’s readiness as a second-order formative factor comprising of role clarity and ability and concentrates on three factors of general technology perceptions as geotag usefulness, geotag ease of use, and geotag enjoyment. Data were gathered by conducting survey between 10-12th of December 2014 to actual geotag users. Partial Least Square techniques were used for hypotheses testing. The following results were obtained in Figure 1. Negative and insignificant relationship between traveler’s readiness and geotag usefulness were found. Also, positive relationships between traveler’s readiness and geotag ease of use and enjoyment were found. The influence of geotag ease of use on geotag usefulness was also found. Besides, the results show that both geotag ease of use and geotag enjoyment significantly influence the continuance use of technology, emphasizing that enjoyment is the most significant antecedent of geotag adoption. But, geotag usefulness didn’t significantly affect the geotag continuance use. This study hopes to contribute in theoretical and practical ways providing more information about how traveler’s readiness and technology perception factors influence geotag continuance use.",
Explore the Influenced Factors for Downloading a Travel Mobile Application = Explore the Influenced Factors for Downloading a Travel Mobile Application,"( Chen Kuo Pai ),( Te Wei Wang ),( Ting Pong Cheng )",한국관광학회,한국관광학회 국제학술발표대회,"Vol.76No.4[2014]
",2014,Korean,"Smartphones,Mobile Applications,Travel Mobile Apps Acquisition Model",,,"학술저널
",,633-640,,,, KISS,,,"With the rapid development of smartphones technology, the smartphone applications (Apps) become a good helper for most of smartphone users in their daily life. Therefore, the developments of mobile applications are attracting more and more attention and attentiveness have become a new emerging industry. ""When the number of similar applications in the app store more and more, the developers face a great deal of competition and challenges. In the classification of applications, travel applications are used to help enhance the experience of tourists and the quality of their trip. In this study, the objective is to explore what are the factors influences the tourist to select a tourism application among the similar application in the Apps market/store. This study extended the Technology Acceptance Model (TAM) and adopted the Structural Equation Modeling (SEM) method to analysis how the smartphone users in selecting a travel application. It is hypothetically influenced by four potential factors: external influences, design, features, and content. Three travel applications (APPs) were selected as the experiments which are from different ranking levels. The questionnaires were distributed to 300 smartphone users who will fill it after their tried to use the App program. The results show that the external influence, design, and contents of the program are to some extent appears to positively influence the perceived ease or perceived usefulness, thus indirectly affecting the user to download an intention to use the application. It is expected the results will available provide to some tourist application developers and related the tourism industry for understanding what the relevant factors will affect the smart phone users when choice among many of tourism applications. And also, help them to make improvements related products, while providing a theoretical basis for the future design direction of new products. The study also built a mobile application to get tourism model, which provides a basis for future research in related fields.",
무역박람회산업에서 증강현실 기술의 동향과 활용에 관한 탐색적 연구 = A Study of the Technical Tendency of Augmented Reality and the Application in Trade Fair Industry,윤세남,한국마이스관광학회,MICE관광연구(JOURNAL OF MICE & TOURISM RESEARCH),"Vol.13No.2[2013]
",2013,Korean,"가상현실(Virtual Reality),증강현실(Augmented Reality),합성현실(Mixed Reality),무역박람회(Trade Fair),기술동향(Technical Tendency)",,KCI등재후보,"학술저널
",http://www.iconvention.or.kr,121-135,1.0,,, KCI,,,"The purpose of this study was to explore the trend and application of Augmented reality in the trade fare industry. The types of trade fare started from simple product exhibition and had developed through sample, general, trade, and professional exhibition. The virtual exhibition has been focused as the new type of exhibition. It is generally agreed that the virtual exhibition would be introduced to the trade fare and a cutting edge type of exhibition in the future. So, it would be meaningful to explore the recent trend of augmented reality technology and how to apply the technology to the trade fare. Documentary method was used for the study. The augment reality is generalized by introducing smart phone and widely used in trade fare field. It is recommended that the virtual exhibition would be specified as four steps. Also, it is suggested that the effectiveness and efficiency in fulfilling the purposes of the trade fare would be increased for  the host, exhibitor, and host city of trade fare by using augmented reality.",
여행사 종업원에 대한 통제수단과 개인의 판매노력 및 감독자 만족간의 관계에 관한 연구 = The Roles of Supervisory Control Dimensions on the Sales Efforts and Travel Agency Employees' Satisfaction for the Supervisor,"배기철,최낙환,황윤용",한국관광학회,관광학연구,"Vol.23No.2[2000]
",2000,Korean,,326.39,KCI우수등재,"학술저널
",http://www.tosok.org/,117-137,,,, KISS,영남대학교 중앙도서관,,"The primary objective of this study was to empirically explore the relationship between the supervisory control dimension and the satisfaction of travel agency employees. From the empirical research, it was found that the effects of information from the supervisor on the travel agency employees' satisfaction were more mediated by working hard than working smart. But, a high level of knowledge about traveling and providing information influenced travel agency employees to work smarter. It means that the supervisors of travel agency are needed to manage more effective information serving rather than rewards.
",
한국드라마가 중국인의 한국호감도와 애호도 및 방문의사에 미치는 영향 = The Influences of Korean Drama in Chinese Market and How it makes a Favorable Impression and Visit Intention about Korea,"유홍서,이익성",한국마이스관광학회,MICE관광연구(JOURNAL OF MICE & TOURISM RESEARCH),"Vol.16No.2[2016]
",2016,Korean,"Chinese,Korean Drama,Likability of Korea,Preference for Korea,Intention to Visit Korea,Confucian Culture,Korean Wave,중국인,한국드라마,한국호감도,한국애호도,방문의사,유교문화,한류",,KCI등재후보,"학술저널
",http://www.iconvention.or.kr,57-76,4.0,,, KCI,,,"This research conducted an empirical survey about three components: the awareness of Korean drama among Chinese, favorable impression of Korea and intention to visit the country. Through literary research, it drew the concepts and measured frequency, elements and reliability by conducting the questionnaire targeting the local Chinese people. The increasing purchase of the Korean Wave products by Chinese people can positively impact on their visit to Korea, so that it is necessary to establish more systematic and in-depth plans to promote the planning, production and direction of K-dramas on an annual basis at the national level. In addition, it was analyzed that as more people watched K-dramas via the internet or smart phones due to the practical reasons, the viewers had a strong awareness of Korean dramas so that they had a strong favor of Korea and intention visit the country.",
Sport diplomacy: The effects of Australia hosting the 2015 AFC Asian Cup on Australia-Korea relations = Sport diplomacy: The effects of Australia hosting the 2015 AFC Asian Cup on Australia-Korea relations,"( Insun Sunny Lee ), ( Graham Brown )",한국관광학회,한국관광학회 국제학술발표대회,"Vol.80No.-[2016]
",2016,Korean,,,,"학술저널
",,1009-1010,,,, KISS,,,"Previous research on the political use of international sports and the role of sport events as constitutive features of modern culture attaches considerable significance to sport events in international relations (Nye 2008; Servaes 2012). This project aims to investigate the effects of sport events as public diplomacy by adopting and extending the theory of planned behaviour (Ajzen 1991). This paper presents preliminary findings on the effects of hosting an international sport event on foreign audiences` perception and beliefs toward the relationship with the host country. The 2015 Asian Football Confederation (AFC) Asian Cup hosted by Australia was used as a case study for this project, and South Korea was chosen as a community to investigate the effects of sport events as public diplomacy. The data were collected from the general public of South Korea through a questionnaire survey administered via Smart Phone application which is designed for market research, a week after the AFC Asian Cup final. A total of 500 valid questionnaires were collected. An independent t-test was performed to examine the differences on the perception and beliefs toward Korea engaging with Australia between Koreans who watched the event and those who did not watch. It was found that people who watched the event have a more favourable attitude toward the relationship between Korea and Australia, believe there is a higher social expectation and confidence for Korea to engage with Australia, and have a higher intention to support Korean businesses that invest in Australia and encourage the Korean government engaging with Australia. The results suggest that hosting an international sport event can facilitate more favourable international relations through positively affecting foreign audiences` perception and beliefs toward their country engaging with the host country.",
"전시회 웹사이트의 브랜디드 콘텐츠 특성이 전시회에 대한 신뢰, 애착 및 참가의도에 미치는 영향","왕서용(Wang Shurong),이지연(Lee, Jiyeon),김봉석(Kim, BongSeok)",한국관광레저학회,관광레저연구,"Vol.32No.3[2020]
",2020,Korean,"전시회 웹사이트(Exhibition Website),전시회 마케팅(Exhibition Marketing),브랜디드 콘텐츠(Branded Contents),신뢰(Trust),애착(Affection),참가의도(Participation)",,KCI등재,"학술저널
",http://www.kastle.kr,391-414,,,, DBpia,,,"This study analyzes whether the emotions of visitors who come into contact will be affected with the branded contents exhibition towards the trust and affection of the exhibition. The target group focuses on the exhibition professional college students who have visited the exhibition, and the visitors of the Seoul International Young Children Education & Kids Fair. Smart PLS 2.0 is used in structural equation.
  The hypothesis verification results show that the similarity and indirectness of branded contents on the exhibition website cannot affect the cognitive trust but can have an impact on the affective trust of the exhibition. In addition, creativity and informativity of the branded contents can have an impact on the cognitive trust of the exhibition but they cannot affect the affective trust of the exhibition.
  Moreover, both the cognitive trust affection of the exhibition can affect the participation of the exhibition, however, affective trust cannot.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구방법
Ⅳ. 실증 분석
Ⅴ. 결론
참고문헌
"
The Antecedents of Business Collaboration and its Consequences in an Exhibition Context. - Perspective of Exhibitors - = The Antecedents of Business Collaboration and its Consequences in an Exhibition Context. - Perspective of Exhibitors -,"( Sunyoung Hlee ),( Jimin Lee ),( Namho Chung ),( Chulmo Koo )",한국관광학회,한국관광학회 국제학술발표대회,"Vol.78No.4[2015]
",2015,Korean,"Smart Exhibition,Exhibition Business Collaboration,EBC,Technical,Organizational and Environmental,TOE Framework. IT Advancement",,,"학술저널
",,433-460,,,, KISS,,,"The usage of information technology (IT) in managing relationships among key stakeholders has increased to improve the supply chain process in exhibition industry. IT can improve the efficiency and effectiveness of collaborative business work in exhibition context. Despite, many business-to-business marketplaces are now offering collaboration functionalities, few empirical studies have assessed the exhibition business collaboration(EBC) including the usage of IT. The purpose of this research is to find the factors that influence of EBC from the exhibitors level. In response to this claim, we identified three main context of factors involved in business collaboration: Technical, Organizational and Environmental Context adopting from TOE framework. We assess the influence of three main context (IT usage, customer orientation, buyer dependence, booth factor and environmental uncertainty), EBC and performance (selling performance and non-selling performance). Building on extensive literature, a model of the relationship is developed and empirically tested using survey data collected from 96 exhibitors. Data are analysed through Smart Partial Least Squares. The study findings on the pertinence of EBC from TOE framework are presented and discussed.",
지속성장을 위한 부산 벡스코(BEXCO)의 블루오션 전략 연구 = A Study on the Blue Ocean Strategy for the Sustainable Growth of BEXCO in Busan,"정숙화(Jung, Sook-Hwa),이재우(Lee, Jae-Woo)",한국관광레저학회,관광레저연구,"Vol.27No.12[2015]
",2015,Korean,"컨벤션센터(Convention Center),블루오션전략(Blue Ocean Strategy),가치혁신(Value Innovation),ERRC,벡스코(BEXCO)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,195-214,0.0,,, DBpia,,,"Using the framework of the Blue Ocean strategy, we study and suggest strategies to create BEXCO’s blue ocean markets. To sustain its long-term growth, BEXCO needs to turn away from the industry’s common or ‘me-too’ (red ocean) strategies and need to be completely differentiated. Specifically, it can totally reconfigure its strategic canvas to create new markets or blue oceans in convention service which are not existing yet.
  By applying to our study ‘the value innovation principle’ of providing new values with lower costs, we suggest that the Busan’s convention hub should eliminate or reduce small size events and instead raise up big, super-size, events with convention capacity expansion. It also needs to provide totally creative concepts of services in which ‘Fun and Smart’ elements are well concocted into traditional convention services. To explain this strategic distinction, we further discuss on how BEXCO can reshuffle itself as opposed to other rival convention places.","Abstract
Ⅰ. 서론 
Ⅱ. 블루오션 전략의 개념
Ⅲ. 벡스코(BEXCO)의 전략캔버스 분석
Ⅳ. 결론 및 시사점
참고문헌
"
