"연구논문(硏究論文) : GPS 기반 스마트폰 어플리케이션과 QGIS를 이용한 북촌 도보관광자의 시,공간 이동밀도 및 체류특성 = Research Articles : Spatiotemporal Movement Density and Staying Characteristics of Walking Tourists in Bukchon Using GPS-based Smart Phone Application and QGIS","박미현 ( Mi Hyeon Park ),윤희정 ( Hee Jeong Yun )",한국관광학회,관광학연구,"Vol.38No.9[2014]
",2014,Korean,"도시관광,문화관광,밀도분석,Urban tourism,Cultural tourism,Density analysis,Global positioning system,Quantum geographic information system",326.39,KCI등재,"학술저널
",http://www.tosok.org/,57-77,4.0,,, KISS,,,"This study intends to analyze the spatiotemporal movement density and the staying characteristics of walking tourists’ behavior using smart phone application based on GPS and QGIS at the Bukchon traditional village. The result of density analysis shows that there are high density streets in the study area, and the walking tourists in this village stay in the narrow streets, near the viewpoint and the relaxation facilities, and the landmarks such as commercial facilities and public spaces more frequently. Tourism planners and policy makers of walking tourism should focus on this unbalanced movement behavior of walking tourists, and adopt the policies reluctant to decentralization and the carrying capacity of walking tourists for sustainable walking tourism.",
연구논문(硏究論文) : 스마트폰 어플리케이션을 이용한 골목길 도보관광자 행태추적 및 공간이동 패턴 = Analyzing Behavior Tracking and Movement Patterns of Walking Tourists in Urban Village Streets Using Smart Phone Application,"박미현 ( Mi Hyeon Park ),윤희정 ( Hee Jeong Yun )",한국관광학회,관광학연구,"Vol.38No.5[2014]
",2014,Korean,"도시관광,문화관광,지역사회 기반형 관광,공간분석,Urban tourism,Cultural tourism,Community-based tourism,Spatial analysis,GPS,Global positioning system",326.39,KCI우수등재,"학술저널
",http://www.tosok.org/,37-58,,,," KCI, &nbsp;&nbsp; KISS",,,"This study uses innovative technology to track and analyze the spatial movement patterns of walking tourists` behavior in urban village streets. The spatial movement of tourists is dynamic and successive. This present study uses a smart phone GPS application at the Buk Chon traditional villages, one of the most famous walking tourists attractions in Korea, in gathering the data. The spatial movement patterns of tourists` walking behavior are classified as 3 types: straight pattern, circuit pattern and complex pattern. Tourism planners and policy makers of community-based tourism should focus on these limited patterns of spatial usage by these walking tourists to adopt policies with such measures in mind. Future research in this area is needed to determine the relationship between the environment and spatio-temporal patterns of walking tourists, as well as the influence of season, weather and demographic factors.",
스마트 관광,구철모,한국문화관광연구원,한국관광정책(Korea Tourism Policy),"Vol.-No.75[2019]
",2019,Korean,,,,"학술저널
",,76-85,,,, DBpia,동국대학교 중앙도서관,,,"1. 스마트 도시
2. 스마트 관광 도시
3. 스마트 관광 도시 구현을 위한 맺음말
참고문헌
"
스마트 경제와 관광정책 방향,이남식,한국문화관광연구원,한국관광정책(Korea Tourism Policy),"Vol.-No.76[2019]
",2019,Korean,,,,"학술저널
",,26-31,,,, DBpia,동국대학교 중앙도서관,,,"1. 스마트 경제
2. 스마트 관광과 관광정책
3. 관광 분야에서의 디지털 주도권
참고문헌
"
스마트폰 관광정보 특성이 지각된 가치와 사용의도에 미치는 영향 = The Effects of Characteristics of Smartphone Tourism Information on User's Perceived Value and Intention to Use,"김조영,이충기",한국호텔관광학회,호텔관광연구(Journal of Hospitality and Tourism Studies),"Vol.15No.1[2013]
",2013,Korean,"Smartphone,Tourism information,Perceived value,Stimulus-Organism-Response,Value-based Adoption Model,스마트폰,관광정보,지각된 가치,자극유기체반응,모형,가치기반수용모형",,KCI등재,"학술저널
",,279-298,6.0,,, DBpia,,,"Recently, information communication technology has changed lifestyle and behavior of tourist enormously. Currently, every smartphone user can get access to the right information they need almost anytime, anywhere. Previous studies such as the Technology Acceptance Model have limitations because they do not take into consideration the dual role of the smartphone user – an adopter of new technology as well as a consumer of advanced tourism information, and related factors accompanied by the ever-changing new technologies. The purpose of this paper is to understand how a potential tourist perceives the value of smartphone tourism information and how this value influences his or her intention to use. We examined the structural relationships among characteristics of smartphone tourism information, perceived value, and consumers' intention to use by using structural equation modeling. The results of SEM analysis indicated that there were significant effect of characteristics of smartphone tourism information on perceived value and intention to use. The theoretical and practical implications of the suggested model are presented in conclusion.",
스마트폰 애플리케이션의 tracking data를 활용한 첫 관광지별 부산방문 관광객 특성 연구 = Investigation of Tourists’ Characteristics Visiting Busan through First Tourism Destination by Tracking Data of Smartphone,장준호,한국관광·레저학회,관광레저연구,"Vol.24No.7[2012]
",2012,Korean,"관광객 특성(Tourists’Characteristic),첫 관광지(First Tourism Destination),관광정책(Tourism Policy),스마트폰 애플리케이션(Smartphone Application),추적자료(Tracking Data)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,25-43,5.0,,," KCI, &nbsp;&nbsp; DBpia",,,"The purpose of this study is to find out tourists’ characteristics visiting Busan through first tourism destination by developed smartphone application and tracking data. To achieve the purpose of this study, tracking data was tracked and collected first tourism destination data through developed smartphone application, TBAT. And then 291 samples were collected by survey and were tracked by TBAT from Feb. 22th to Feb. 25th, 2012. The analysis was conducted chi-square analysis and multiple correspondence analysis to test the differences tourists’ demographic characteristics and travel characteristics by first tourism destination on tracking data in Busan. The findings showed that there were statistically significant differences in gender, age, marital status, the number of visiting Busun, travel mode, trip purpose, companion, the number of companion through first tourism destination.","Abstract
Ⅰ. 서론
Ⅱ. 선행연구 검토
Ⅲ. 연구설계 및 방법
Ⅳ. 분석결과 및 고찰
Ⅴ. 결론
참고문헌"
스마트폰 관광정보활용과 관광지까지의 거리인식의 관계 = Use of Tourism Information on Smart-phone and Relation to Perception of Distance to Tourist Attraction,"오경택(Oh, Kyung-Taek),이철진(Lee, Chul-Jin)",한국관광레저학회,관광레저연구,"Vol.27No.5[2015]
",2015,Korean,"스마트폰 관광정보(Smart-Phone Tourism Information),지각된 거리(Perceived Distance)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,21-38,0.0,,, DBpia,,,"The purpose of this study was to study how a tourist uses the tourism information acquired using the Smart-phone to perceive the distance to the tourist attraction and use the findings to manage and provide various kinds of tourism information effectively for the Smart-phone to reduce the gap between the distance perceived by the tourist and the actual distance to the destination. The following are the findings of this study as a result of a substantial survey:
  First, the polarity of tourism information for Smart-phone has a significant impact on the perception of physical distance. Second, interactivity has a significant negative impact on the perception of physical distance and cultural distance. Third, usability has a significant impact on the overall perception of distance, including physical distance, cultural distance, and psychological distance. Finally, the reliability of tourism information for Smart-phone does not have a significant impact on the perception of distance.
  Overall, the individual characteristics of tourism information for Smart-phone had a positive impact on the tourist""s perception to the tourist attraction. More meaningful findings would be derived if follow-up studies discuss the intervening variables and moderator variables of their relations.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구설계 및 조사방법
Ⅳ. 실증분석
Ⅴ. 결론
참고문헌
"
연구논문(硏究論文) : 스마트폰을 활용한 관광정보 서비스품질 측정항목 개발에 관한 실증연구 = Research Articles : A Empirical Study on Development of Service Quality Measurement Scales by Using Smart Phone Tourism Information,김용일 ( Yong Il Kim ),한국관광학회,관광학연구,"Vol.36No.2[2012]
",2012,Korean,"스마트폰,Smart phone,관광정보,Tourism information,서비스품질,Service quality",326.39,KCI우수등재,"학술저널
",http://www.tosok.org/,281-300,,,, KISS,영남대학교 중앙도서관,,"The purpose of this study is to identify the dimensions of mobile tourism service quality, and to develop a reliable and valid measurement instrument. Surveys were conducted with users of mobile tourism information service via smart phone as subjects from 15 September to 30 October, 2010 for verification regarding empirical application possibility of measurement categories deduced through study of preexisting research, expert interviews, a survey of expert opinion. Dimensionality verification and reliability verification were obtained during the index development phase, and in the subsequent index assessment phase, confirmatory factor analysis and path analysis was conducted out for re-verification of dimensionality, and construct validity and predictive validity. As a result, composition of mobile tourism information service quality utilizing smart phone was classified into a total of six dimensions comprising 28 categories including functionality, information quality, ease of use and usefulness, responsiveness and empathy, ubiquitous accessibility and reliability; consequentially; supporting more accurate design, management and measurement of mobile tourism services.",
"스마트 관광 도시 부산의 지역 내·외적 경제적 파급효과:지역 간 산업연관모델을 이용하여 = The Internal and External Economic Effects of Smart Tourism City, Busan : Analysis Using an Inter-Regional Input-Output Model","이현애,양성병,정남호",(사)한국관광레저학회,관광레저연구,"Vol.31No.4[2019]
",2019,Korean,"스마트 관광 도시,경제적 파급효과,지역 간 산업연관모델,Smart tourism city,Economic effect,Inter-Regional Input-Output Model",,KCI등재,"학술저널
",http://www.kastle.kr,87-101,0.0,,," KCI, &nbsp;&nbsp; DBpia",,,"With the advent of smart tourism based on information and communication technology(ICT), numerous cities around the world are promoting smart tourism cities. Busan has been designated as smart city pilot city from 2015, and has been building a smart city platform with the aim of enhancing the level of tourism infrastructure through cooperation between government agencies and private corporations and the introduction of Internet of things(IOT). Smart tourism city enables information sharing among various economic entities including tourists, residents and tourism companies based on ICTs, and has a positive economic impact not only in various industrial fields in the city but also in other regions. Thus, the purpose of this study is to identify the current status of Busan as a smart tourism city and to present the results that can contribute to setting the future direction. The results showed that the amount of output, income, value-added and indirect tax generated by Busan to the city itself and other regions are estimated about 7.6 trillion KRW, 3.2 trillion KRW, 3 trillion KRW and 100 billion KRW, respectively",
연구논문(硏究論文) : 모바일 관광정보 서비스품질 초기 측정항목 개발을 위한 전문가 조사 -스마트폰을 활용한 모마일 관광정보 서비스를 중심으로- = Research Articles : A Study on the Survey of the experts for Development of Mobile Tourism Service Quality Measurement Scales: Focusing on Smartphone`s Tourism Service,"김용일 ( Yong Il Kim ),김성혁 ( Sung Hyuk Kim )",한국관광학회,관광학연구,"Vol.35No.9[2011]
",2011,Korean,"모바일,Mobile,스마트폰,Smart phone,서비스품질,Service quality",326.39,KCI우수등재,"학술저널
",http://www.tosok.org/,203-220,,,, KISS,영남대학교 중앙도서관,,"The mobile technology is becoming an important aspect of tourism inform- ation service system. This study was to develop a scale of the mobile tourism information service quality. In order to achieve this, first, based on a critical review of related literature, a total of 38 initial measurement categories of mobile tourism service were initially developed. Then, using an in-depth interview with 10 experts on tourism information system, the content validity of the 38 items were tested. As a results, out of 38 items, 35 items were found to be valid items. Finally, 21 experts participated in a survey to finalize the scale development. W-verification of Kendall was employed to test the validity of the scale and 21 items were included in mobile tourism information service quality scale. The 21 items could be categorized into three dimensions: information, system and service. The information service quality was composed of items such as credibility, diversity, easiness and accuracy, while the systematic dimension of the service quality was composed of stability, functionality.",
