모바일 관광정보 연구논문에 관한 내용분석 = Content Analysis of Articles on the Mobile Based Tourism Information,"고영관,김민철",한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.10No.10[2012]
",2012,Korean,"모바일,내용분석,관광 정보,모바일 관광정보,문헌고찰,Mobile,Content Analysis,Tourist Information,Mobile Tourists Information,Literature Review",326.41,KCI등재,"학술저널
",http://www.policy.or.kr,203-214,1.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,"정보기술의 발전으로 스마트폰 등 모바일 기기의 사용자가 급증하면서 모바일 기기를 이용한 정보 검색과 다양한 서비스에 대한 관심이 커지고 있다. 사용자들은 모바일 기기를 통한 관광정보서비스 이용을 원하고 있으며, 이에 따라 지자체 단체 등에서는 스마트폰을 활용한 모바일 관광정보에 대한 다양한 서비스를 제공하고 있다. 모바일 관광정보 서비스에 대한 관심과 요구사항이 많아지면서 모바일 관광정보 유형 및 선호도, 서비스품질 측정, 사용자의 만족 및 재사용의도 등에 대한 연구들이 이루어지고 있으나, 그동안 연구된 논문들의 연구주제, 연구방법론 등의 다양한 평가척도를 수량적으로 분류, 고찰하는 내용분석에 대한 연구는 전무한 실정이다. 따라서 본 연구에서는 국내 모바일 관광정보에 대한 체계적인 연구 필요성 차원에서 한국연구재단에 등재되어 관리되고 있는 학술지에 게재된 모바일 관광정보 관련 논문에 대한 연도별 연구추이, 연구주제, 통계분석기법, 조사방법, 연구모델 및 이론 등의 연구 성향을 연도별로 파악하여 그 시사점을 제시하고자 한다.",,"요약
 Abstract
 1. 서론
 2. 선행연구의 고찰
  2.1 모바일 관광정보에 대한 개요
  2.2 내용분석에 대한 이론적 개요
 3. 내용 분석
  3.1 분석틀의 설정
  3.2 서술적 분석
  3.3 성향적 분석
 4. 결론
 참고문헌"
플로우 이론을 이용한 u-융복합 관광정보3.0 의 융복합 콘텐츠 정보품질 설계,"선수균,이승우",한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.13No.9[2015]
",2015,Korean," u-융복합 관광정보3.0 시스템, 융복합 관광 메타모델 클래스, 융복합 콘텐츠 정보 품질, 플로우 이론, UML, XMI, u- convergence Tourist Information 3.0 system, convergence tourism metamodel class, meta-model connectivity relationships interrelated group, Convergence Contents information quality(CCIQ), Flow Theory",,KCI등재,"학술저널
",http://www.policy.or.kr,191-199,2.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,"본 논문은 플로우 이론을 이용한 u-흉복합 관광정보3.0 시스템을 제안한다. 관광객의 즐거움을 극대화하기 위한 u-도전감과 u-숙련도를 생성한 것이 u-융복합 관광정보3.0 이다. 이것은 콘텐츠 정보품질의 도전감과 숙련도를 잘 조절하여 관광객의 즐거움을 극대화하기 위한 분석이다. 콘텐츠 정보품질의 도전감은 u-도전감의 선행요인인 콘텐 츠 지속성, 관광동기 충족성을 분석할 수 있는 데이터를 생성할 수 있다 . 콘텐츠 정보품질의 숙련도는 관광객의 u- 숙련도의 선행요인인 숙달된 능력, 사용가능성, 인터넷신뢰성, 정보적시성, 앱검색능력을 분석할 수 있는 데이터를 생 성할 수 있다. 그 결과는 메타 모델화를 생성하여 최적의 즐거움에 도달함을 콘텐츠 정보품질 극대화라 한다. 관광정 보 콘텐츠의 정보품질의 도전감과 숙련도를 구현은 관광객의 즐거움을 데이터화하여 파악할 수 있다는 장점이 있다. 향후 국가직무 능력 표준에 적용하여 직무의 즐거움을 극대화 할 수 있을 것으로 기대된다.","The Journal of Digital Policy & Management. This space is for the abstract of your study in English. In this paper, we propose a u-convergence Tourist Information 3.0 System using Flow Theory. It generates a sense of u-challenge and u-skills to maximize the enjoyment of tourists is u-convergence Tourist Information 3.0. This is a challenge to good sense and adjust the rating of the Convergence Contents information quality(CCIQ) analysis to maximize the enjoyment of tourists. Convergence Contents information quality(CCIQ) of the conductive continuity of the content closed antecedents u-conductive sense, the tourist synchronization adequacy may generate data that can be analyzed. Content Information Quality of rating is the leading factor in the ability of the u-skill mastery of tourists, can generate data availability. The result is to create a meta-model is referred to as content information to reach the best quality maximize enjoyment. Design a sense of u-challenge the skill of the information quality of the tourist information content has the advantage of being able to identify the data formation has the pleasure of tourists. By applying to future national competent standard it is expected to maximize the enjoyment of the job.","요약
 Abstract
 1. 서론
 2. 관련연구
  2.1 플로우 이론
  2.2 u-스마트 관광정보 시스템
  2.3 XMI 기반 패턴모델
 3. 융복합 콘텐츠 정보품질의 설계
  3.1 u-융복합 관광정보3.0 제안
  3.2 u-융복합 관광정보 시스템 구성도 설계
  3.3 관광정보 패턴 템플리트 라이브러리 설계
 4. 결론
 REFERENCES"
체험형 게임을 활용한 관광산업 활성화 방안에 관한 연구 = A Study on the Revitalization of Tourism Industry Using Experience Game,"정미아,김기석,정형원",한국엔터테인먼트산업학회,한국엔터테인먼트산업학회논문지,"Vol.13No.3[2019]
",2019,Korean,"Game,Tourism Industry,Experience Games,Tourism Contents,Experience tour,게임,관광산업,체험형게임,관광콘텐츠,체험관광",,KCI등재,"학술저널
",,1-12,2.0,,, DBpia,,"등의 기술을 활용한‘체험형 게임’이 화제가 되고있고 관광산업에서 관광객들의 방문을 유도할 목적으로 다양한 체험형 게임 콘텐츠를 활용하여 홍보하고 있다. 관광의 트렌드가 단순 여행의 개념에서 개인의 삶의 질을 높이고자 하는 힐링의 개념, 즉 소비자들은 단순히 보는 것에 만족하지 않고 직접 경험하고 체험하는 형태의 관광을 선호하고 있는 추세로빠르게 변화하고 그 트렌드에 맞춰 관광의 형태도많은 변화가 생기고 있다. 이에 관광에 게임에서의재미와 경험을 활용한 국내, 외 사례들을 사례연구의방법을 활용하여 살펴보았다. 국내 사례를 보면 스마트폰을 활용한 방법으로 서비스하였지만 단순 정보제공이나 미션 퀘스트방식, 지속적으로 서비스가 되지 않는 문제점이 있고 스토리도 한정되어 있는 문제점이 있다. 이에 대해 국외 사례를 통해 해결방법을 찾아보고자 하였다. 다양한 체험 콘텐츠를 개발및 적용하고 지속적인 서비스를 위한 적극적인 투자와 다양한 스토리를 활용하고, 가상현실과 같은 신기술을 활용하면 국내 관광산업 활성화 및 만족도의향상을 가져올 수 있고 다양한 콘텐츠 개발에 큰 도움이 될 것이라 기대한다.","The 4th industrial revolution has become a topic of 'experiential games' that utilize technologies such as virtual reality, augmented reality, and complex reality, and they are promoting various experiential game contents to attract tourists in the tourism industry have. The trend of tourism is the concept of the healing which aims to enhance the quality of life of the individual in the concept of simple travel, that is, the consumer is not satisfied with the sight, There are many changes in the form of tourism. In this study, domestic and foreign cases that utilized the fun and experience of tourism in the game were examined using case study methods. In domestic case, although service was provided by using smart phone, there is a problem that simple information is provided, mission quest method is not continuously provided, and the story is limited. I tried to find out the solution through this case. Developing and applying various experience contents, utilizing active investment and various stories for continuous service, and utilizing new technology such as virtual reality, it will bring about improvement of domestic tourism industry and satisfaction.",
SNS 미식상품 정보품질과 관광지 선택속성이 관광자 만족에 미치는 영향 연구 = A Study on the Effect of SNS’s Gourmet Products Information Quality and Tourism Spots Selection Attributes on Tourist Satisfaction,조승행,한국상품문화디자인학회,상품문화디자인학연구(Journal of Cultural Product & Design),"Vol.58No.-[2019]
",2019,Korean,"SNS,Gourmet Product Design,Information Quality,Tourist Destination Attributes,Satisfaction,소셜네트워크 서비스,미식상품 디자인,정보품질,관광지 선택속성,만족",,KCI등재,"학술저널
",http://www.pdik.or.kr/,251-259,0.0,,," 코리아스칼라, &nbsp;&nbsp; KISS",남서울대학교 성암기념중앙도서관,"스마트폰 등 모바일 기기를 통한 SNS가 보편화 되면서, IT와 네트워크의 결합으로 인한 ‘스마트 관광’이 급속하게 확산되 고 있으며 미식관광에 있어서도 SNS의 영향력은 절대적이라 할 수 있다. 따라서 SNS를 통한 미식상품 정보의 전파와 내용 은 사용자간 실시간 공유 및 연결, 댓글 또는 방문 참여라는 생산자적 소비자의 소통구조로 이루어져 있어 그만큼 정보품 질의 중요성이 강조되고 있다. 본 연구의 목적은 미식 관광상품 속성요인을 포함한 SNS 정보품질과 관광지 선택속성이 관 광자 만족에 어떠한 영향을 미치는지를 검증하고자 하였다. 연구의 목적을 달성하기 위하여 잠재적인 혹은 경험적인 미식 관광객을 대상으로 설문 조사하였으며, 총 300부의 연구 설문지 중 불성실한 내용 84부를 제외하고 216부를 최종 분석하 였다. 분석도구로는 SPSS 25.0을 이용하여 신뢰도 및 요인분석, 상관관계 분석, 다중회귀분석을 하였으며 가설 검정에 대 한 분석결과는 다음과 같다. 첫째, SNS 미식상품 정보품질은 관광자 만족에 일부분 유의미한 영향을 미침으로 부분 채택되 었고 둘째, 관광지 선택속성은 만족에 유의미한 정(+)의 영향 관계를 형성하였다. 따라서 본 연구의 가설은 부분 채택되었 으나, 연구결과에서 미식상품요인과 SNS 정보품질 요인이 만족에 미치는 영향요인이 서로 확연히 다름을 확인할 수 있었 고 이에 후속 연구에서는 미식 관광객에게 필요한 미식상품 품질요인변수를 더 다양화할 필요성이 있다.","The spread of SNS through mobile devices such as smartphones is also rapidly spreading ""smart tourism"" through the combination of IT and networks, and the impact of SNS on gourmet tourism is absolutely certain. Accordingly, the propagation and contents of the information of the gourmet merchandise through the SNS are structured to communicate with producers such as real-time sharing, concatenation, writing and visit participation among users, and the importance of information quality is emphasized. The purpose of the study was to examine how SNS information quality and tourist site selection attributes, including the attributes of gourmet tourist products, affect tourist satisfaction. A questionnaire survey was conducted on potential or experienced gourmet tourists in order to achieve their research objectives, and 216 out of a total of 300 research and questionnaire papers, excluding 84. The analysis tool utilizes SPSS 25.0 to perform reliability and factor analysis, correlation analysis and multiple regression analysis. First, the information quality of the SNS gourmet commodity is partially selected by partly influencing tourist satisfaction, and secondly, the tourist spot selection attribute forms an influence relation of satisfactory meaningful feeling. Therefore, although the study's hypothesis has been partially adopted, it is possible to confirm that gourmet commodity factors and SNS information quality factors have a satisfactory impact on each other in subsequent studies that further diversify the quality of gourmet commodities.",
지역 문화유산을 활용한 증강현실 기반 관광 콘텐츠 개발 = Development of Augmented Reality(AR)-based Tourism Contents using Local Cultural Resources,"이종욱(Jongwook Lee),박현아(Hyun-Ah Park),박강아(Kang-Ah Park)",한국콘텐츠학회,한국콘텐츠학회논문지,"Vol.18No.6[2018]
",2018,Korean,"지역 문화유산,증강현실,관광 콘텐츠,Local Cultural Heritage,Augmented Reality,Tourism Contents",,KCI등재,"학술저널
",http://www.koreacontents.or.kr,122-130,3.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; DBpia",,"스마트 관광이 활성화됨에 따라서 관광산업에 증강현실을 접목하는 시도가 늘어나고 있다. 그러나 기존의 증강현실 기반 관광 콘텐츠는 주로 오랜 역사를 가지고 있는 문화유산을 대상으로 제작되어 왔기 때문에 산업화에 의해 파괴되거나 변형된 근현대의 유, 무형 문화유산에 대한 체험이 부족한 실정이다.
  따라서 본 연구에서는 근현대의 건축물 및 생활사 등을 다양한 인터랙티브 요소를 통해 체험할 수 있는 증강현실 기반의 어플리케이션 〈충무로 AR〉을 기반으로 콘텐츠를 개발하였다. 특히 어플리케이션 제작대상지인 충무로 지역은 1960년대부터 90년대까지 영화 산업의 중심지 역할을 하였고 이에 대한 일반인들의 역사 관광에 대한 니즈가 존재하기에 선정하였다. 〈충무로 AR〉은 ‘79년 조감독의 하루’라는 시나리오를 토대로 총 5개의 PoI (Point of Interest)를 선정하고 각 지점에서 증강현실 콘텐츠 체험, 과거배경에서 사진찍기, 스탬프 수집의 인터랙티브 체험을 할 수 있도록 구성되어 있다.
  최종적으로 〈충무로 AR〉의 현장 설문을 통하여 참가자들이 느끼는 기술적 용이성, 유용성, 만족도 등을 알아보았다. 설문 결과 유용성 항목에서 점수가 가장 높았으며 몰입감과 시스템 안정성에 대한 점수가 상대적으로 낮았다. 본 연구는 증강현실 기술을 활용하여 실증적으로 관광에 적용해 보았다는 데 의의가 있으며, 향후 본 연구의 결과를 바탕으로 하여 지역 문화유산을 활용한 증강현실 기반 관광 콘텐츠 개발에 대한 연구가 활성화되기를 기대한다.","As smart tourism is gaining more attention, there are increasing attempts to make use of augmented reality(AR) in tourism industry. However, existing AR-based tourism contents are only limited to the ‘designated’ cultural heritage, overlooking the value of undesignated cultural heritage lost in the past few decades of development era. This hinders expanding the scope of tourism contents and leads to the production of banal and similar contents.
  Given that, our study has developed tourism contents based on 〈Chungmuro AR〉, an AR-based mobile application that enables participants to virtually visit the historical sites lost in the development era. The Chungmuro area, which the app is named after, is unique in character. The area has been famous for movie making for over 30 years until the ‘90s. It is abundant with movie-related cultural resources such as theaters and print shops, which makes the place where people wants to feel the glorious past. Through the app, participants are able to walk along the historic trail and take pictures at five virtual historic spots, among many others.
  We also examined participants’ level of satisfaction and overall tourism experience. By taking the result into account, we hope that the AR-based tourism contents will increase in the future.","요약
Abstract
I. 서론
II. 관련 연구
III. 증강현실 기반 지역 관광 콘텐츠 〈AR 충무로〉 어플리케이션 개발
IV. 〈AR 충무로〉 시연과 설문조사
V. 결과와 논의
참고문헌
"
기대확신모델을 통한 모바일 관광 애플리케이션 사용자의고착성 형성요인 분석,"한진성(Jin Seong Han),윤지환(Ji Hwan Yoon)",한국호텔외식관광경영학회,호텔경영학연구,"Vol.23No.2[2014]
",2014,Korean,"모바일 관광 애플리케이션,기대확신모델,고착성,지각된 즐거움,Mobile Tourism Application,Expectation-confirmation Model,Stickiness,Perceived Enjoyment",,KCI등재,"학술저널
",http://www.kasha.or.kr,195-217,13.0,,, DBpia,,"모바일 기술의 지속적인 발전과 스마트폰 이용자의 증가는 관광산업에도 새로운 변화를 일으키고 있다. 그 중에서도 관광 애플리케이션은 이용자들에게 다양한 정보서비스를 제공하며 관광객의 의사결정에 중요한 역할을 하고있으며, 이와 관련한 앱 콘텐츠들의 시장경쟁도 점차 치열해지고 있는 실정이다. 그러나 관광 앱 서비스업체들은소비자들의 낮은 전환비용과 넓어진 선택의 폭 등으로 인해 고객의 앱 충성도를 획득하는데 많은 어려움을 겪고있다. 따라서 본 연구에서는 그동안 정보시스템 이용자의 행동분석을 위해 적용되어왔던 기대확신모델(ECM)을 기반으로 관광 앱 이용자들의 앱에 대한 고착성(stickiness)을 형성하는 요인들에 대해 살펴보고자 하였으며, 또한 기존 모델에 개인의 정서적 요인을 추가하여 이론적 적용가능성을 검토하였다. 관광 앱을 이용 중인 총 300명의 응답자 데이터를 토대로 AMOS 19. 0을 이용한 구조방정식모형(SEM) 분석을 통해 실증적인 영향관계를 도출하였다. 분석 결과에서 제시한 6개의 가설이 모두 지지되었으며, 이용자의 확신은 지각된 유용성, 지각된 즐거움, 만족에 유의한 영향을 미치는 것으로 나타났으며, 지각된 유용성과 지각된 즐거움은 만족과 유의한 영향관계가 있는 것이 확인되었다. 또한 고착성은 만족과 직접적인 영향관계가 있으며, 이용자 확신과 지각된 유용성, 지각된 즐거움에 간접적인 영향을 받고 있음을 확인하였다. 마지막으로 이러한 연구결과를 토대로 연구의 이론적, 실무적 시사점을 제안하였으며, 연구의 한계점에 대해 논의하였다.","As a result of advanced mobile technologies and increasing smartphone users, tourism industry and its environment have rapidly been changed. As tourism application, in particular, now serves as a significant role in providing a wide range of information services that support travelers` decision making process, the tourism app market has become more competitive. Due to rapid increase in usage of mobile tourism applications by tourists in recent years, many studies have tried to identify the influential factors of the user`s behavioral intention. However, little study has focused on which attributes are important and influence the user`s loyalty. Because mobile app consumers can easily delete their apps and switch to other apps, it has become a big challenge for tourism companies to attract the attention of mobile consumers and make them stick with the application. Therefore, this study investigated the antecedents of app stickiness based on the expectation-confirmation model. In addition, we combined with the affective construct(perceived enjoyment) of individual users. A total of 365 data were collected from both online and on-site survey, and 300 were analyzed using SPSS and AMOS programs. The results indicate that the user`s confirmation significantly influence perceived usefulness, perceived enjoyment, and satisfaction. Also, perceived usefulness and perceived enjoyment significantly influence satisfaction. Finally, satisfaction has a positive influence on stickiness. The theoretical and practical implications of these finding are discussed.",
SNS 마케팅 활용을 통한 한류관광 활성화 전략 연구 = 중국관광객을 중심으로,"하경희(Ha, Kyoung-hee)",한국호텔외식관광경영학회,호텔경영학연구,"Vol.26No.2[2017]
",2017,Korean,"Korean-Wave Tourism,SNS Marketing,True Reach,Amplification Probability,Network Influence,한류관광,SNS 마케팅,실제 도달,확산 가능성,네트워크 영향력",,KCI등재,"학술저널
",http://www.kasha.or.kr,49-66,,,, DBpia,,"최근 한류 확산에 힘입어 한국을 방문하는 중국 관광객이 급속하게 증가하고 있는 반면 재방문 관광객의 비율은 줄어들고 있으며, 중국인 관광객의 트렌드는 종전의 단체관광 중심에서 20~30대의 개별관광으로 이동 중이다. 한편, 스마트폰 사용자 급증에 따라 SNS를 통한 커뮤니케이션이 마케팅채널로서 주목받기 시작하였으며, 점차 그 중요성과 영향력이 증대되고 있다. 그러므로 SNS 마케팅을 활용한 한류관광 활성화 전략이 필요한 시점이다. 이러한 SNS 마케팅의 효과는 Klout가 제시한 ‘Klout Score’의 측정요인인 실제 도달(True Reach), 확산 가능성(Amplification Probability), 네트워크 영향력(Network Influence) 요인으로 나누어 평가할 수 있는데, Klout가 제시한 세 가지 요인을 향상시키기 위한 전략 제시를 연구 문제로 설정하였다. 이를 위하여 SNS 마케팅 관련 선행연구와 한류관광 SNS 마케팅 및 중국 SNS 사용 현황을 분석하였다. 선행연구와 현황 분석을 토대로 Klout Score의 세 가지 요인 측면에서 한류관광을 활성화하기 위한 SNS 마케팅 전략을 다음과 같이 제시하고자 한다. 첫째, 확산가능성을 향상시키기 위하여 참여형 콘텐츠를 개발해야 한다. 체험후기와 긍정적인 리뷰 확산을 위하여 참여형 콘텐츠를 개발하여 한류관광 프로그램 무료 체험 기회나 한류관련 이벤트 참여기회를 제공해야 한다. 둘째, 실제 도달 측면에서 한류 SNS마케팅 효과를 위하여 한류관광객의 특성과 관심을 고려한 정보 제공을 통하여 유용성을 확보하고 그리고 진심이 담긴 메시지를 통해서 한류 정보의 신뢰성을 제고해야 한다. 셋째, 네트워크 영향력을 향상시키기 위하여 한류대중문화나 한국전통문화에 친숙해질 수 있도록 한류와 관련된 동영상, 웹툰 등을 활용할 수 있다. 이러한 영상 콘텐츠를 한류 및 한국문화에 대한 간접체험의 기회로서 SNS를 통해 제공함으로써 한류팬의 저변확대를 통한 한류의 지속성장을 꾀하도록 해야 할 것이다.","The Korean-Wave tourism marketing strategies for younger generations who become major consumers in China are needed to increase not only first visit but also revisiting Chinese tourists. Recently the communication with SNS (Social Network Service) has become an important marketing channel. The purpose of this study is to propose the strategy for Korean-Wave tourism with SNS marketing. On the other hand, the effect of SNS marketing is evaluated by three factors such as ‘True Reach’, ‘Amplification Probability’ and ‘Network Influence’ of ‘Klout Score’. So three questions are derived such as how to improve ‘True Reach’, ‘Amplification Probability’ and ‘Network Influence’ factors of SNS Marketing for Korean-Wave Tourism. For the purpose of this study, the analysis is conducted utilizing advanced research, present conditions related to Korean-Wave tourism with SNS marketing, and Chinese tourists’ use of SNS. The strategies are as follows. First, to improve ‘Amplification Probability’, the development of participation type contents for the spread of the experience postscript and positive review. Second, in terms of ‘True Reach’ factor, the guarantee of the usability considering the characteristics of the Korean-Wave tourists and their interests, and the reliability of the Korean-Wave tourism information according to the sincerity of messages. Third, to improve ‘Network Influence’, the development of video clips and webtoon experience programs about the Korean-Wave and Korean-Wave tourism as an indirect experience opportunity for the familiarity about Korean-Wave and Korean culture.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구 설계
Ⅳ. 선행연구와 관련 현황 분석
Ⅴ. 결론
참고문헌
국문초록
"
생태 관광 정보 제공을 위한 플랫폼 설계 = The Design of Platform for Ecotourism Information Supply,"권성현,김영근,손철수,김원중,Kwon, Seong-Hyeon,Kim, Young-Geun,Son, Cheol-Su,Kim, Won-Jung",한국전자통신학회,한국전자통신학회 논문지,"Vol.13No.2[2018]
",2018,Korean,"타임 랩스,임베디드 시스템,라즈베리파이,위치 기반 서비스",,KCI등재,"학술저널
",,419-426,1.0,,, NDSL,,"생태 관광이란 우수한 자연자원과 주변의 역사, 문화 자원 체험을 통해 느끼고 관찰하는 관광을 말하며, 현재 국민들의 여가생활 패턴이 변경됨에 따라 자연을 찾는 힐링(healing) 여행이 활성화 되고 있다. 본 논문에서는 계절에 따라 변화하고 특정한 시기에만 관람이 가능한 생태 관광 프로그램의 문제점을 해결하고 지속 가능한 생태 관광이 이루어 질 수 있는 관광 콘텐츠 시스템을 제안한다. 제안하는 관광 콘텐츠 시스템은 이미지 촬영 단말기에서 매일 촬영한 생태 관광 이미지 파일을 수거하여 동영상으로 변환 후 서버에 업로드 하면 관광객이 생태 관광 객체에 도착했을 때, 스마트폰을 이용하여 알려주고 식물의 성장 과정 등을 동영상으로 관람할 수 있도록 설계하였다.","Ecotourism refers to tourism that senses and observes superior natural resources, cultural resources and history around. Today, as the current leisure patterns of the people change, a healing trip to find nature is being activated. In this paper, we propose a platform design and construction for providing ecotourism information. In the proposed platform, first, the image file of the eco-tourism objects taken every day from the image capture device is collected, converted into a video, uploaded to the server, then, when the tourist arrives at the eco-tourism object, It is designed to be able to watch.",
위치 기반 관광 정보 서비스 기술 동향 = Technology Trends of Location Based Tourism Information Service,"이우식(Woosik Lee),김남기(Woosik Lee)",한국정보기술학회,한국정보기술학회 하계종합학술발표논문집,"Vol.2013No.5[2013]
",2013,Korean,"location based service,smartphone service,tourism information service",,,"학술저널
",http://www.ki-it.or.kr,10-13,,,, DBpia,,"최근 스마트폰의 빠른 보급과 위치 기반 서비스의 급증은 위치 기반 관광 정보 서비스의 중요성을 부각하고 있다. 위치 기반 관광 정보 서비스는 LBS (Location Based Service)의 한 형태로 텍스트, 이미지, 동영상과 같은 다양한 형태의 컨테츠를 웹 또는 앱 형태로 제공해 주는 서비스라고 할 수 있다. 이런 서비스는 Push와 Pull 형태로 컨텐츠 서비스를 제공받으며, Wi-Fi, Cell-ID, GPS, NFS와 같은 측위 기술을 통해 위치 정보를 제공 받는다. 이런 정보를 사용자는 아이폰, 겔럭시 폰, 아이패드, 겔럭시 노트 등과 같은 스마트 디바이스에 스토리텔링, 증강현실, 위키피디아, QR코드와 같은 서비스 기술을 사용하여 다양한 서비스를 체험할 수 있다. 본 논문에서는 위치 기반 관광 정보 서비스에 대한 개념과 기술 동향을 살펴보며, 앞으로 위치 기반 관광 정보서비스가 나아가야 될 방향을 제시하고자 한다","Nowaday, location based tourism information service is important over time because of providing smartphone fastly and increasing location based service. Location based tourism information service is a type of LBS (Location Based Services) that supply various contents on web or app. This service received content service based on push and pull technologies and location service based on diverse location determination technologies such as wi-fi, cell-id, gps, and nfs. Consumers easily go through these services on smart devices such as iphone, galaxy phone, ipad, and palaxy tab using storytelling, augmented reality, wikipedia, and qr-code technologies. In this paper, we show a concept about location based tourism information service and technology trends. Lastly, we present a way of advanced location based tourism information service in the future.","요약
Abstract
Ⅰ. 서론
Ⅱ. 위치 기반 관광 정보 서비스 개념
Ⅲ. 위치 기반 관광 정보 서비스 기술 동향
Ⅳ. 위치 기반 관광 정보 서비스가 나아가야 될 방향
Ⅴ. 결론
참고문헌
"
"소비자구매행동 기반의 최적화된 유투어리즘: 서울관광사례연구 = Optimised u-Tourism Based on Consumer Purchase Behavior ""Seoul Tour Case Study""","이재진 ( Jae Jin Lee ),조준서 ( June Suh Cho )",(주)엘지씨엔에스(구 LGCNS 엔트루정보기술연구소),Entrue Journal of Information Technology,"Vol.11No.2[2012]
",2012,Korean,"유비쿼터스 관광서비스,웹,모바일,어플리케이션,서울시,Ubiquitous Tour Service,Web,Mobile,Application,Seoul",20.1305,KCI등재,"학술저널
",,21-36,6.0,,, KISS,전남대학교 중앙도서관,"21세기 각국은 자국의 경제적 이익을 추구하기 위해 다방면에서 글로벌 경쟁 체제에 놓여 있으며 관광분야 역시 예외가 아니다. 이에 서울시는 유비쿼터스 기반 대(對)외국인관광객 서비스를 상용화하였는데 이로써 우리나라의 최첨단 IT 기술을 기반으로 하여 u-관광자원을 개발하고 가치창출이 가능한 관광 비즈니스 모델의 초석을 다지게 되었다. 이에 대해 본 연구는 고객 구매의사결정과정에 기반하여 설계한 서울시의 유투어 서비스에 대한 사례 연구를 하였다. 서비스 현황을 구체적으로 살펴보면, 외국인 관광객들이 웹과 모바일 등을 활용하여 여행 전·중·후 과정에서 획기적이고 다양한 여행 편의를 제공받게 되었다. 서비스 제공은 5개 언어로 지원되며 서울시를 비롯한 유관기관 콘텐츠를 도입하고 전자지도 및 예약서비스를 지원하고 있다. 모바일 서비스는 모바일 웹 최적화사이트를 개발하고 스마트폰을 통해 관광객 위치 기반의 다국어 어플리케이션을 개발하여 웹에서의 서비스를 대부분 지원하도록 하여 여행 중 위치기반 서비스를 통해 서울 어느곳에서든 서울관광에 대한 정보를 유용하게 얻을 수 있다. 본 사례 연구는 2009년부터 2011년에 걸친 유투어 서비스의 테스트·상용화·고도화 과정을 분석하였다. 웹, 모바일로 구분한 구축과정과 관광객들의 반응, 만족도 조사결과 등을 분석하였으며 유투어 서비스 구축의 의의와 시사점을 제시하고 활용도 제고를 위한 향후 과제에 대해 논의함으로써 본격화되는 유투어리즘에 대한 가이드라인을 제공하고자 한다.","21century, all the nations around the world are in the system of global competition in various fields to seek economical prof-its. Tourism is not an exception. Hence, Seoul is meaningful in developing u-tourist attractions and creating value for manag-ing foreign tourists by promoting and invigorating the tourism, which is considered to be 21century`s higher value-added busi-ness. Moreover, Seoul is applying Korea`s high-tech IT technology to foreign tourists service based on ubiquitous. Seoul is now able to provide foreign tourists diverse, innovative tourism conveniences using IT technologies(eg. web, mobile, etc) in their process of touring with the u-service that Seoul have built this time. The service is provided in 5 different languages, adopting interagency contents including Seoul, and giving out conveniences with electronic-map and booking service. Mobile services not only developed mobile web optimum sites but also provided multi-lingual applications based on foreign tourists` locations with most of its service on web. This leads to the convenience for the foreign tourists to acquire information related to Seoul tour. With the provide of the service, it is expected to earn various economical, cultural value as well as enhancing Seoul`s brand value in the end.",
