"온라인 고객리뷰의 방향성과 브랜드 인지도가 호텔상품 구매결정에 미치는 효과분석 : 미국소비자의 한국 호텔상품 구매상황에서 = Effects of Brand Reputation, Positive and Negative Reviews, and Gender on Online Hotel Reviews : Perspectives of US Consumers for Korean Hotels",장동석,동북아관광학회,동북아관광연구,"Vol.7No.2[2011]
",2011,Korean,"온라인 호텔 이용후기,호텔 브랜드 평판,긍정적？부정적 이용후기,성별,상호작용효과,호텔 이용？추천의도,hotel online review,positive and negative review,gender difference,purchasing intention,brand reputation,recommendation intention",326.39,KCI등재후보,"학술저널
",,215-231,,,," eArticle, &nbsp;&nbsp; KISS",,"인터넷의 발달과 pc의 일반화 그리고 스마트폰의 급속한 보급으로 온라인 호텔 이용후기의 파급력도 더욱 커지고 있다. 이러한 상황 하에서 우리나라 호텔에 대하여 충분한 정보를 갖고 있지 않은 따라서 온라인 상 호텔이용후기에 더욱 의존할 수밖에 없는 외국인(본 연구에서는 미국인)의 호텔상품 구매의도와 추천의도에 온라인 호텔 이용후기 상의 호텔의 브랜드 평판, 부정적인 또는 긍정적인 이용후기의 내용이 소비자의 성별과 함께 어떠한 직접적 효과 그리고 상호작용 효과를 가져오는지를 연구하였다. 연구목적을 위하여 미국 현지의 소비자를 대상으로 브랜드 평판(고, 저)*이용후기의 내용(긍정적, 부정적)*성별(남성, 여성)의 실험조건을 갖춘 설문조사가 실시되었고 그 결과와 미래의 연구방향이 논문에서 제시되었다.",,"요약 
Ⅰ. 서론
 Ⅱ. 문헌연구 
 1. 온라인 구매와 사용(이용)후기 
2. 브랜드 인지도와 구매(이용) 
3. 성별에 따른 소비관련행태의 차이 
4. 호텔관광분야의 온라인 소비자 이용후기 연구
 Ⅲ. 연구 방법론 
 1. 실험설계 
2. 연구대상 
3. 호텔 브랜드의 인지도 조작 
4. 이용후기의 방향성 조작 
5. 절차 
Ⅳ. 분석결과 
 1. 실험참가자 특성 
2. 조작점검 
3. 주효과와 상호작용 효과 
Ⅴ. 결론
참고문헌
ABSTRACT"
박람회 참관객의 NFC이용저항과 무계획 행동에 대한 고찰 = Examining the resistance of NFC and unplanned behavior of exhibition attendees : a motivation-threat-ability framework perspective,"한희정(Han, Heejeong),정남호(Chung, Namho),김정만(Kim, Jung Man)",한국관광레저학회,관광레저연구,"Vol.27No.4[2015]
",2015,Korean,"NFC(Near Field Communication),저항(Resistance),무계획 행동(Unplanned Behavior),동기-위협-능력 프레임워크(Motivation-Threat-Ability framework),스마트 관광(Smart Tourism)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,105-126,,,," KCI, &nbsp;&nbsp; DBpia",,,"In the context of tourism, the active utilizing of NFC is crucial to the development of information technologies and their vitality. However, exhibition attendees tend to have resistance toward using the NFC, which attracts attendees to unplanned booths. The objective of this study is to understand use resistance of NFC and unplanned behavior with the perspective of Motivation-Threat-Ability. Thus this study built a research model and examined how NFC switching cost, threat, and self-efficacy affect unplanned behavior through the use resistance. We examined the relationships between self-efficacy and unplanned behavior. This study collected sample data from 373 first-time NFC users in the exhibition. The results represented switching cost and threat positively affected unplanned behavior through NFC use resistance. Self-efficacy also affected unplanned behavior directly and indirectly. This study had its significance in understanding the NFC use resistance and unplanned behavior away from existing viewpoint of NFC acceptance.","Abstract
Ⅰ. 서론
Ⅱ. 이론적 배경
Ⅲ. 연구모형과 가설설정
Ⅳ. 연구방법
Ⅴ. 분석 및 결과
참고문헌
"
문화유산관광지에서 모바일 증강현실 어플리케이션의 만족과 지속사용에 영향을 미치는 요인에 대한 연구 = Factors Affecting Satisfaction and Continued Usage Intention of Mobile Augmented Reality App on Cultural Heritage Tourism,"정남호(Chung, Nam-Ho),이현애(Lee, Hyun-Ae),김정만(Kim, Jung-Man)",한국관광레저학회,관광레저연구,"Vol.26No.8[2014]
",2014,Korean,"모바일 증강현실(Mobile augmented reality),통합기술수용모형(Unified  Theory of Acceptance and Use of Technology),기대일치모형(Expectation Confirmation Model),문화유산관광(Cultural Heritage Tourism),스마트 관광(Smart Tourism)",326.39,KCI등재,"학술저널
",http://www.kastle.kr,55-72,20.0,,," KCI, &nbsp;&nbsp; DBpia",,,"The augmented reality (AR) technology is the most representative example of the smart tourism. The AR technology can be combined with the cultural heritage sites. However, existing studies related to the AR focused only on technical aspect or just listing the attributes recognized by tourists regarding the AR. Therefore, this study combined Unified Theory of Acceptance and Use of Technology (UTAUT) and the Expectation Confirmation Model (ECM) and studied the effect of the expectation and expected satisfaction of consumers of tourism applications using AR on their satisfaction and intentions of continuous use empirically. As a result, the confirmation influenced the effort and performance expectations and satisfaction. Only performance expectation influenced the satisfaction and intention of continuous use of the applications using AR among the constructs of the UTAUT. The findings provided theoretical and practical implications.","Abstract
I. 서론
II. 이론적 배경 및 선행연구 검토
Ⅲ. 연구모형 및 연구가설
Ⅳ. 연구방법 및 실증모형 분석
Ⅴ. 분석 및 연구 결과
Ⅵ. 토의 및 결론
참고문헌
"
정보과학기술 및 영재교육 : 도보여행을 위한 유비쿼터스 관광정보서비스 활용 = Application of Ubiquitous Tourism Information Service for Walking Tour,"양지혜 ( Ji Hye Yang ),김한일 ( Han Il Kim )",한국컴퓨터교육학회,한국컴퓨터교육학회 학술발표대회논문집,"Vol.16No.2[2012]
",2012,Korean,,28.6,,"학술저널
",,161-164,,,, DBpia,,"스마트폰이 대중화되고, 유비쿼터스 기술이 발달하여 일상생활에 접목되면서 관광정보서비스을 첨단 기술을 통해 제공하는 ``스마트관광``이 추진되고 있다. 하지만 다양한 관광의 형태 중에서도 꾸준히 여행객이 증가하고 있는 도보여행에 있어서는 보다 첨단의 기술이 필요함에도 특성화된 어플리케이션이나 서비스가 제공되고 있지 않다. 여기서는 도보여행을 위한 모바일 어플리케이션의 양적 현황을 분석하고, 유비쿼터스 기술을 접목한 서비스의 형태를 제안하고자 한다.",,
"연구논문(硏究論文) : Big 5 성격특성에 따른 NFC서비스 사용자 시장세분화 -2013 오송 화장품,뷰티 세계박람회를 대상으로- = Research Articles : Market Segmentation of NFC Service Users By Big 5 Personality: Case of Cosmetics & Beauty Expo, Osong Korea 2013","정남호 ( Nam Ho Chung ),이현애 ( Hyun Ae Lee ),구철모 ( Chul Mo Koo )",한국관광학회,관광학연구,"Vol.39No.2[2015]
",2015,Korean,"박람회 참관객 시장세분화,근거리무선통신,Big 5 성격,스마트 관광,Expo attendee market segmentation,Near field communication: NFC,Big 5 personality,Smart tourism",326.39,KCI등재,"학술저널
",http://www.tosok.org/,119-134,9.0,,," KCI, &nbsp;&nbsp; KISS",,"최근 다수의 박람회장에서 NFC(Near Field Communication, 근거리 무선통신) 등의 최첨단 정보통신기술이 활발히 사용되고 있다. 이런 추세 하에서 본 연구는 박람회 참관객들이 가지고 있는 성격에 따라 정보통신기술에 대한 인지, 태도, 행동의도가 다르게 나타날 것이라는 가정 하에 2013 오송 화장품·뷰티 세계박람회의 참관객들을 대상으로 연구를 진행하였다. 본 연구는 가장 저명한 성격 특성 모형인 Big 5 성격특성을 사용하여 참관객의 성격을 파악하고, 비슷한 성격을 묶어 세분시장으로 구별하였다. 그 결과, 수동적, 신경증적, 적극적 참관객 집단, 총 3개의 세분 시장으로 구별되었으며, 이 세분 시장들은 NFC에 대한 인지와 태도, 사용의도에 있어서 서로 매우 상이한 모습을 보였다. 특히, 신경증적 참관객 집단은 NFC가 유용함을 강하게 인지하고 있고, NFC로 인해 얻은 정보를 참고하여 비계획적으로 부스를 방문했음에도 불구하고, 가장 강하게 복잡성과 저항을 인지하고, 가지고 있는 것으로 나타났다. 이러한 결과를 바탕으로, 본 연구는 NFC를 전시/컨벤션에 적용하고자 하는 마케팅 실무자들에게 신경증적 참관객들에게 초점을 맞춘 마케팅 전략이 필요함을 연구의 시사점으로써 제공하고 있다.","This study assumes that exhibition attendees` cognition, attitude and behavior towards use of cutting-edge information technology newly adopted in the Cosmetics and Beauty Expo in Osong Korea 2013, may differ according to attendees` personality characteristics. This study therefore attempts to segment the exhibition attendees using cluster analysis based on the Big Five-Factor model. Three segments were identified: passive, neurotic, and an active attendees group, furthermore significant differences in terms of cognition, attitude and behavior toward NFC were observed. Among these three segments, especially the neurotic attendees group shows the highest level of complexity and resistance towards using NFC, even though this group perceives usefulness of NFC and visited the booth due to the information from NFC. Based on these results, this study recommends that exhibition marketers who plan to adopt NFC within their exhibitions to target the neurotic attendees segment.",
영화촬영지 관광산업을 위한 증강현실 기반 IT서비스 = Augmented Reality based IT Service for Film-related Travel Industry,이석호,사단법인 인문사회과학기술융합학회,예술인문사회융합멀티미디어논문지,"Vol.6No.3[2016]
",2016,Korean,"증강현실,촬영지,관광,여행,모바일,augmented reality,film location,tourism,travel,mobile",,KCI등재,"학술저널
",,443-450,1.0,,," KCI, &nbsp;&nbsp; 스콜라",,"최근 관광산업의 트랜드 중 하나는 영화를 테마로 하는 관광이 성장하고 있다는 것이다. 유명 촬영지가 테마파크로 조성되기도 하고 연계 여행패키지들도 생겨나고 있다. 그러나 이런 영화테마파크의 조성은 금액이 많이 요구되기 때문에 한정된 아주 유명한 영화에 대해서만 한정적으로 조성이 가능하다. 이에 반해 보통은 촬영장소에 가게 되더라도 그 장소에서 어떤 영화가 촬영되었는지조차 알기 어렵다. 본 논문은 이러한 제약사항을 넘을 수 있는 촬영지기반의 IT 서비스 제공을 제안한다. 일반인이 특정장소를 방문하였을 때 GPS를 이용한 위치정보와 스마트폰 카메라를 통해 입력되는 영상을 이용하여 정확한 카메라의 위치를 계산한 후에 이를 촬영지 영화 데이타베이스에 쿼리로 전송하면 해당 촬영지에서 찍혔던 영화의 클립이 스마트폰 디스플레이위에 증강현실로 재생이 되거나, 사진 촬영시 실제사진위에 해당지역에서 촬영된 장면이 오버랩된 사진을 얻을 수 있게 된다. 본 서비스를 통해 일반인도 쉽게 취향에 맞는 영화테마 기반의 여행을 할 수 있을 것으로 기대된다.","Nowadays, tourism based on film locations is becoming more and more prosperous. Therefore, famous film locations are turning into theme parks and related travel packages are appearing. However, such theme parks can be constructed only if the film location is really famous. However, normally many film locations are unknown to general people. In this paper, we propose a mobile IT service which supports film location based travel. When a man takes a screenshot of the location this will be sent to the cloud server together with the location information obtained by the GPS. The cloud server compensates the accurate position of the user and sends a query to the database which returns a film clip to the mobile phone matching the position of the user. Then the movie clip that was taken in that place will be diplayed on the display of the user's smartphone, or a picture of the movie scene is overlapped on the picture which user takes on this region. By using this service general people can easily take a film location thema travel.",
[자치단체발전전략] 강원도 화천군 : 교육 · 복지도시로 도약하는 평화관광 허브 화천,편집부(편집자),한국자치학회,월간 공공정책,"Vol.155No.-[2018]
",2018,Korean,,,,"학술저널
",,46-51,,,, DBpia,,,,"제1목표, ‘교육행복도시’ 화천 건설
스마트 일자리 정책 구현
글로벌 축제 · 관광 · 스포츠 도시 화천
지역 맞춤형 지역 경제 기반 건설
평화시대의 화두, 평화관광과 물류
행복한 노후, 빈틈없는 복지
농산물 유통구조 개선으로 ‘억대 농부’ 육성
지역 발전의 동력, 민 · 군 · 관 협력
지역의 미래, 사회간접자본 확충 총력전
"
YouTube 콘텐츠 분석을 통한 관광산업 내의 인공지능에 대한 연구,"김태경,조휘림,이예린,구철모",한국경영정보학회,한국경영정보학회 학술대회논문집,"Vol.2019No.11[2019]
",2019,Korean,"RAISA, 인공지능, 로봇, 스마트관광, 유튜브, 텍스트마이닝",,,"학술저널
",http://www.kmis.or.kr,260-264,,,, eArticle,,"RAISA(Robots, Artificial Intelligence, Service Automation)의 발전은 산업의 영역을 넘어 인공지능 기반 추천 시스템, 음성인식시스템과 같이 서비스의 영역으로 확장되고 있다. 호텔과 레스토랑을 중심으로 한 환대 및 관광 산업에서도 RAISA 도입이 가속화 되고 있으나 이에 대한 실현가능성과 기대, 기능 및 성능, 사람들의 태도 등에 대한 논의가 부족한 실정이다. 이에 따라, 본 연구는 온라인 버즈(online buzz) 분석을 통해 유튜브 플랫폼에서 RAISA가 실제로 어떻게 논의되고 있는 지 알아보고자 한다. 구체적으로는 사람과의 대결에서 승리한 인공지능 ‘알파고’의 등장과 아마존의 알렉사(Alexa) 등으로 인해 RAISA가 더욱 주목을 받았던 2016년을 기점으로 온라인 버즈 흐름의 변화를 파악하고, RAISA에 대한 전문가와 소비자 간의 태도를 분석하는 것이 본 연구의 목적이다. 설정된 검색 키워드를 통해 수집된 총 225개의 유튜브 동영상에서 텍스트를 추출하였으며, 추출된 텍스트는 Valence Aware Dictionary and sEntiment Reasoner(VADER) 감정분석 알고리즘을 이용하여 분석하고 특정 시점 전/후 및 집단 간에 결과의 차이가 있는지 살펴보았다. 분석 결과, 2016년을 기점으로 유튜브 상에서 긍정적인 추세로 버즈량이 크게 증가하였으며, RAISA에 대한 태도에 있어 전문가와 소비자 간의 차이를 발견하였다.",,"Abstract
1. 서론
2. 연구 배경 및 연구 명제
	2.1 유튜브를 이용한 Online buzz 분석
	2.2 관광 분야에서의 로봇, RAISA, 서비스자동화(RAISA) 연구
3. 연구 방법론
	3.1 데이터 수집
	3.2 분석 방법
4. 연구 결과
	4.2 그룹 간 비교
5. 결론
References
"
중국에서 쇼트 클립(Short Clip: 짧은 동영상)이 관광객 인터넷 관심도에 미치는 영향,료사순,한중경제문화학회,한중경제문화연구,"Vol.13No.-[2019]
",2019,Korean,"중국, 쇼트 클립, 틱톡, 관광객, 인터넷 관심도, China, Short Clip, TikTok, Tourists, Network Attention.",,,"학술저널
",http://www.kochec.org,93-110,,,, 코리아스칼라,,"IT기술의 발전 및 스마트 터미널(Smart terminal)의 보급으로 정보를 검색하고 받아들이는 과정에서 쇼트 클립의 중요성이 갈수록 커지고 있다. 관광객들의 인터넷 관심도는 관광객 유동량과 관계가 있다. 본 논문은 중국 쇼트 클립의 시장 규모와 영향력을 분석하는 기초 위에 서안시(西安市)를 중심으로 틱톡 (TikTok) 영상의 방송 전후 관광객의 인터넷 관심도가 시간적, 공간적으로 어떤 변화를 나타내는지 분석 하였다. 거시적인 측면에서의 연구 결과는 첫째, 쇼트 클립은 매우 큰 시장 규모와 잠재력을 가지고 있다. 둘째, 쇼트 클립은 인터넷 시대의 효과적인 마케팅 모델로 도시 이미지의 수립과 전달에 중요한 영향을 미치고 있다. 셋째, 쇼트 클립은 촬영지 관광객의 관심도에 시간적, 공간적인 영향을 준다. 넷째, 5G 네트워크 의 발전에 따라 쇼트 클립 플랫폼을 중심으로 광고주, 장비 벤더, 동영상 프로듀서, 동영상 사용자 그리고 전송망 사업자가 포함된 소셜 미디어 생태계가 점차 형성된다. 미시적 방면으로 보면 첫째, 쇼트 클립의 발전이 인터넷 기술에 대한 의존성이 매우 크다. 둘째, 쇼트 클립이 소비자 행위에 중요한 영향을 끼친다. 셋째, 틱톡에서의 쇼트 클립이 방송된 후 서안(西安) 영흥방 (西安永興坊), 중경(重慶) 홍애동(重慶洪崖洞), 청해(靑海) 차가염 호수(青海茶卡鹽湖)에 대한 관광객의 관심도가 크게 변화한 것에 비추어 볼 때 쇼트 클립이 관광지를 홍보하는 데 좋은 효과가 있으며 영향권도 매우 크다. 넷째, 쇼트 클립이 갈수록 더 많은 분야와 융합하여 ‘쇼트 클립+’의 패턴으로 발전할 것이다. 분석에 의하면 쇼트 클립 수색과 정보 제공이 관광객의 관심도를 높이고 특히 틱톡 영상이 방송된 후 관광객들이 촬영지에 대한 인터넷 관심도가 크게 변화될 것을 알 수 있다.","With the development of Internet information technology and the popularization of smart terminals, short video becomes more and more important in the process of searching and receiving information. There is a strong positive correlation between visitor network attention and amount of tourist. Based on the analysis of the market scale and influence of Short Clip in China, this paper takes Xi' an as an example to analyze the changes of tourists' network attention in time and space before and after the broadcast of TikTok Short Clip. The results show that in macro aspect: Firstly, Short Clip has huge market scale and potential. Secondly, as an effective marketing mode in the Internet era, Short Clip has an important impact on the construction and dissemination of city image. Thirdly, Short Clip has a significant impact on tourists' attention in time and space. Fourthly, with the development of 5G network, Short Clip platform, including advertisers, equipment providers, content producers, video users, network operators and other social ecosystems have gradually formed. On the micro level: Firstly, the development of Short Clip has a strong dependence on Internet technology. Secondly, Short Clip will have an important impact on consumer behavior. Thirdly, the network attention of tourists in Xi' an Yongxing Fang, Chongqing Hongyadong and Chaka Salt Lake, has changed significantly after the broadcast of ""TikTok"" Short Clip program, which shows that Short Clip has a significant propaganda effect on tourism in all shooting areas. Fourthly, more and more industries will merge with Short Clip to form a ""Short Clip plus"" model. According to the analysis, short clip search and information provision have increased the attention of tourists, especially after the ""TikTok"" program broadcast in China, the audience's attention has changed a lot.","Ⅰ. 서 론
Ⅱ. 중국의 쇼트 클립 시장과 영향
Ⅲ. 쇼트 클립 방영 전후 관광객의 인터넷 관심도 변화
Ⅳ. 쇼트 클립의 미래와 관광 소셜 미디어 생태계
Ⅴ. 결 론
參 考 文 獻
국문초록
ABSTRACT"
위치-인식 기반 덕수궁 관광 가이드 시스템의 설계 및 구현 = Design and Implementation of a Location-Aware Tour Guide System for a Palace,"박다정 ( Da-jung Park ), 황상희 ( Sang-hee Hwang ), 김아름 ( Ah-reum Kim ), 창병모 ( Byeong-mo Chang )",한국인터넷정보학회,인터넷정보학회논문지(Journal of Internet Computing and Services),"Vol.9No.2[2008]
",2008,Korean,"Location-aware, GPS, Tour Guide System, Implementation",4.0,KCI등재,"학술저널
",http://www.ksii.or.kr,131-138,2.0,,," NDSL, &nbsp;&nbsp; KISS",,"본 연구의 목적은 실용적으로 사용될 수 있는 위치 인식 기반 관광 가이드 시스템을 개발하는 것이다. 본 연구에서는 이를 위해 PDA를 사용하여 서울 중심부에 있는 덕수궁 관광을 위한 위치 인식 기반 관광 가이드 시스템을 개발하였다. 이 시스템은 관광객들에게 현재 위치, 주변 정보 그리고 건물들의 자세한 설명 등과 함께 덕수궁을 가이드 한다. 또한 관광 가이드의 질을 높이기 위해 사용자 유형에 따른 맞춤형 가이드, 다중 언어 음성 가이드 등을 제공한다.","The goal of our research is to develop a smart location-based self guided tour assistant as a context-aware real world application. As a context-aware tourist guide application, we have been developing a PDA-based location-aware tourist guide application for the old palace Deoksugung in the center of Seoul. It will guide visitors to the palace with information about: current location, attractions nearby, and details about specific buildings. Rich multimedia support has been incorporated into the system to provide extra features to enhance the self-guided tour",
