"VDT 전자파 방사, -電磁波放射, Video Display Terminal radiation, VDT radiation",,"컴퓨터 영상 표시 단말기(VDT)로부터 방사되는 전자파 방사. 이의 유해 여부에 대한 연구가 지속되고 있지만 아직 확정된 결과는 없고, 화면에서 적어도 약 45.7cm ~ 50.8cm(18 ~ 20인치) 떨어지도록 하고 있다. 평판 표시 장치(FPD: Flat Display)는 브라운관(CRT: Cathode Ray Tube)보다 방사가 적은 것으로 알려져 있다.&nbsp;&nbsp;"
"VDT 전자파 방사, -電磁波放射, Video Display Terminal radiation, VDT radiation",,"컴퓨터 영상 표시 단말기(VDT)로부터 방사되는 전자파 방사. 이의 유해 여부에 대한 연구가 지속되고 있지만 아직 확정된 결과는 없고, 화면에서 적어도 약 45.7cm ~ 50.8cm(18 ~ 20인치) 떨어지도록 하고 있다. 평판 표시 장치(FPD: Flat Display)는 브라운관(CRT: Cathode Ray Tube)보다 방사가 적은 것으로 알려져 있다.&nbsp;&nbsp;"
"VESA 미디어 채널, VESA Media Channel, VM Channel, VMC",,다양한 운영 체계(OS)와 플랫폼 간 인터페이스 기능을 가진 표준 프로그래밍 인터페이스. 다수의 OS와 플랫폼을 동일 드라이버에서 사용할 수 있도록 드라이버와 주변 시스템 사이에 사용되는 중립적 OS 및 플랫폼 응용 프로그래밍 인터페이스를 정의한다. 특정 장치에 대한 확장자를 가지고 모든 드라이버를 위한 공통 구조를 제공함으로써 여러 종류의 장치를 통합할 수도 있다.
"VHF 하위 채널, -下位-, Very High Frequency low channel, VHF low channel",,"VHF 채널 중 채널 2∼4(54-72 ㎒), 5∼6(76-88 ㎒)까지의 5개 채널. VHF(30-300 ㎒)대 주파수는 주로 3개 주파수 대역으로 구분한다. VHF Low(54-88 ㎒), FM(88-108 ㎒), VHF High(174-216 ㎒)로 나누고 주로 방송용으로 사용한다."
"VME 버스, Versa Module Eurocard bus, VME bus",,"미국의 모터롤라, 프랑스의 톰슨 CSF사 등이 개발한 32비트 버스 및 64비트 버스 규격. 모토롤라사가 자사의 마이크로프로세서 68000을 탑재한 소형 컴퓨터의 시스템 버스로 개발하여 1979년에 공표한 VERSA 버스의 Eurocard 버전으로 1981년에 제안되었다. 이것을 바탕으로 수정, 확장하여 1986년과 1987년에 국제 전기 표준 회의(IEC)와 미국 전기 전자 학회(IEEE)가 각각 IEC 821과 IEEE 1014로 표준화하여 국제 표준이 되었다. 전 세계 300개 이상의 제조업체가 VME 버스를 표준 버스로 채용한 다양한 기종의 고성능 워크스테이션 등을 생산하여 산업, 업무 및 군사 분야에 널리 사용하고 있다."
"VMS 운영 체제, -運營體制, Virtual Memory System, VMS",,"DEC(Digital Equiment Corporation)사의 VAX 및 Alpha 컴퓨터에서 운용되는 다자용 운용 체제. 가상 기억 장치 개념을 이용한 32 비트 운영 체계로, 분산 컴퓨팅 지원 및 멀티태스킹 기능이 있으며, 알파 프로세서를 위해 재개발되면서 OpenVMS라고 개칭되었다."
"VM 모바일 뱅킹, Virtual Machine Mobile Banking",,금융 칩을 내장하지 않은 휴대 전화로도 해당 프로그램을 내려받아 모바일 뱅킹을 할 수 있는 서비스. 기존의 모바일 뱅킹은 은행마다 별도로 발급하는 특정 금융 칩을 장착한 휴대 전화에서만 사용이 가능했으나 VM 모바일 뱅킹은 해당 프로그램을 휴대 전화로 내려받기만 하면 은행 거래를 할 수 있다.
"VOB 파일, Dvd Video Object, VOB",,"DVD 타이틀에 기록된 DVD 영화의 실제 동영상 데이터가 저장된 파일 형식(확장자).  DVD 타이틀에는 AUDIO TS와 VIDEO TS 폴더가 있고 VIDEO TS 폴더안에는 VOB, IFO, BUP 등의 확장자를 가진 파일들이 여러 개 들어 있다. 정당한 절차를 거치지 않고 VOB 파일만을 단독 실행시키는 것은 CSS encryption라 불리는 복사 금지 조항에 위반된다. 그러나 근래의 소프트웨어 DVD 플레이어 중에는 VOB 파일을 실행할 수 있는 것도 있고, 이 파일을 하드디스크에 복사한 후에 DivX 변환기를 이용해서 DivX 파일로 압축생성할 수도 있게 되어 있다."
"VoIP 보안 위협, -保安威脅, VoIP Security Threat",,"음성 패킷을 불법으로 수집 및 조합해 통화 내용을 재생하고 도청하는 위협. 서비스 관련 시스템 자원 고갈 및 비정상 패킷의 다량 발송을 통한 회선 마비 등의 서비스 거부(DoS) 공격이 있다. 또한 사용자의 등록 정보를 조작하거나 추가해 비인가된 서비스를 이용하는 서비스 오용 공격, 호 설정 과정이나 사용자 등록 과정에 개입해 사용자의 세션 제어 권한 등을 획득하는 세션 가로채기, 인터넷 회선을 공유해 녹음기 등을 통해 발송하는 VoIP 스팸이 있다."
"VSAM 볼륨 데이터 집합, -集合, VSAM volume data set, VVDS",,"기본 목록 구조(BCS)와 함께 EDF 목록을 구성하는 데이터 집합. VSAM 데이터 집합에 관한 통계 정보, 데이터 집합 속성, 직접 접근 볼륨상의 스페이스 정보 등을 갖고 있다."
